date,open,high,low,close,volume,Adj Close
2015-10-12,3351.139,3486.631,3347.251,3447.693,221400464.0,3447.693
2015-10-09,3302.36,3352.379,3293.965,3340.116,124352496.0,3340.116
2015-10-08,3324.981,3337.331,3294.605,3296.482,132081768.0,3296.482
2015-10-07,3195.901,3223.908,3186.767,3202.948,78559352.0,3202.948
2015-09-30,3195.901,3223.908,3186.767,3202.948,78559352.0,3202.948
2015-09-29,3197.221,3208.417,3159.042,3178.854,87150632.0,3178.854
2015-09-28,3226.607,3246.554,3186.507,3242.752,74219472.0,3242.752
2015-09-25,3272.665,3290.858,3201.914,3231.951,121419280.0,3231.951
2015-09-24,3278.896,3300.857,3255.902,3284.999,102011240.0,3284.999
2015-09-23,3290.071,3315.935,3253.333,3263.028,123171440.0,3263.028
2015-09-22,3312.366,3371.414,3303.184,3339.03,146221984.0,3339.03
2015-09-21,3222.603,3312.55,3211.934,3308.247,122788672.0,3308.247
2015-09-18,3254.443,3280.877,3227.834,3251.273,106903480.0,3251.273
2015-09-17,3287.657,3354.905,3236.999,3236.999,169401888.0,3236.999
2015-09-16,3149.158,3345.918,3131.37,3309.248,159710000.0,3309.248
2015-09-15,3208.744,3240.079,3131.98,3152.232,143555648.0,3152.232
2015-09-14,3367.642,3373.921,3187.566,3281.132,205457248.0,3281.132
2015-09-11,3349.877,3383.134,3315.478,3347.188,108547504.0,3347.188
2015-09-10,3349.281,3398.316,3337.311,3357.561,144882976.0,3357.561
2015-09-09,3344.824,3426.651,3330.29,3399.305,220467424.0,3399.305
2015-09-08,3221.789,3340.219,3170.807,3334.023,154599632.0,3334.023
2015-09-07,3347.293,3422.225,3240.243,3250.485,204224432.0,3250.485
2015-09-02,3220.851,3387.02,3213.637,3365.832,347789408.0,3365.832
2015-09-01,3296.529,3370.504,3190.578,3362.083,352458528.0,3362.083
2015-08-31,3307.396,3368.279,3205.537,3366.536,280250400.0,3366.536
2015-08-28,3246.236,3353.244,3223.622,3342.286,299498432.0,3342.286
2015-08-27,3092.812,3206.724,3028.398,3205.638,267294928.0,3205.638
2015-08-26,3062.566,3192.932,2952.008,3025.692,308270624.0,3025.692
2015-08-25,3070.007,3200.108,3019.556,3042.927,276081312.0,3042.927
2015-08-24,3454.598,3468.149,3266.55,3275.534,255436656.0,3275.534
2015-08-21,3714.289,3757.779,3578.175,3589.536,217986400.0,3589.536
2015-08-20,3848.403,3880.824,3761.454,3761.454,212167968.0,3761.454
2015-08-19,3748.266,3898.74,3668.192,3886.136,269049824.0,3886.136
2015-08-18,4084.311,4103.054,3816.554,3825.412,319881056.0,3825.412
2015-08-17,4058.113,4081.772,4009.99,4077.872,256939632.0,4077.872
2015-08-14,4097.918,4113.159,4056.727,4073.54,253392992.0,4073.54
2015-08-13,4010.013,4075.7,3967.821,4075.463,242836976.0,4075.463
2015-08-12,4025.674,4078.03,4015.355,4016.126,255146192.0,4016.126
2015-08-11,4083.589,4110.133,4042.004,4066.669,322034176.0,4066.669
2015-08-10,3947.472,4101.731,3932.842,4084.365,306780544.0,4084.365
2015-08-07,3866.43,3926.649,3857.908,3906.945,183349152.0,3906.945
2015-08-06,3802.928,3888.693,3793.237,3831.852,147278688.0,3831.852
2015-08-05,3937.623,3962.277,3858.66,3866.9,200484272.0,3866.9
2015-08-04,3827.373,3948.449,3801.028,3948.155,220236560.0,3948.155
2015-08-03,3766.072,3829.235,3742.578,3829.235,245805024.0,3829.235
2015-07-31,3777.155,3863.624,3757.989,3816.699,222376768.0,3816.699
2015-07-30,3915.78,3968.534,3802.882,3815.412,271548672.0,3815.412
2015-07-29,3839.959,3934.003,3769.189,3930.379,276972832.0,3930.379
2015-07-28,3690.974,3883.446,3627.421,3811.093,383527232.0,3811.093
2015-07-27,4097.796,4156.313,3817.169,3818.731,365054496.0,3818.731
2015-07-24,4255.198,4299.65,4154.617,4176.279,392045376.0,4176.279
2015-07-23,4158.932,4262.062,4148.824,4250.805,354471744.0,4250.805
2015-07-22,4148.56,4187.431,4094.712,4157.16,318945984.0,4157.16
2015-07-21,4109.761,4201.482,4081.704,4166.006,318374944.0,4166.006
2015-07-20,4157.06,4221.693,4106.389,4160.612,352673472.0,4160.612
2015-07-17,4023.757,4190.186,4000.231,4151.496,331107136.0,4151.496
2015-07-16,3949.639,4067.022,3856.321,3997.356,330531360.0,3997.356
2015-07-15,4068.88,4114.243,3899.508,3966.759,421956352.0,3966.759
2015-07-14,4178.63,4258.513,4062.5,4112.149,454422016.0,4112.149
2015-07-13,4132.231,4278.161,4072.43,4211.812,502092192.0,4211.812
2015-07-10,3916.272,4179.111,3887.551,4106.556,500701792.0,4106.556
2015-07-09,3621.68,3930.264,3537.826,3897.626,503870624.0,3897.626
2015-07-08,3651.06,3762.622,3612.254,3663.038,581467072.0,3663.038
2015-07-07,3877.854,3960.636,3743.624,3928.003,679385024.0,3928.003
2015-07-06,4218.266,4218.266,3832.468,3998.537,648094528.0,3998.537
2015-07-03,4017.202,4164.629,3785.902,3885.917,429300864.0,3885.917
